Año(aaaa)-Trimestre(t);Orden del país; País;Unidad multiplicadora;Moneda (USD);Valor
2008-1;81;Otros Países;Millones;Dólar estadounidense;-7,208424238
2008-1;82;Total paises;Millones;Dólar estadounidense;2717,537719
2008-2;1;Afganistán;Millones;Dólar estadounidense;0
2008-2;2;Albania;Millones;Dólar estadounidense;0
2008-2;3;Alemania;Millones;Dólar estadounidense;35,05317207
2008-2;4;Anguilla;Millones;Dólar estadounidense;312,2397911
2008-2;5;Antillas Holandesas;Millones;Dólar estadounidense;5,526365572
2008-2;6;Argentina;Millones;Dólar estadounidense;2,046832139
2008-2;7;Aruba;Millones;Dólar estadounidense;0,383364245
2008-2;8;Australia;Millones;Dólar estadounidense;1,156212606
2008-2;9;Austria;Millones;Dólar estadounidense;-0,240702802
2008-2;10;Bahamas;Millones;Dólar estadounidense;3,194617015
2008-2;11;Barbados;Millones;Dólar estadounidense;35,71023671
2008-2;12;Bélgica;Millones;Dólar estadounidense;0,530223097
2008-2;13;Belice;Millones;Dólar estadounidense;1,465
2008-2;14;Bermudas;Millones;Dólar estadounidense;108,8313294
2008-2;15;Bolivia;Millones;Dólar estadounidense;2,982164785
2008-2;16;Brasil;Millones;Dólar estadounidense;110,8431447
2008-2;17;Canadá;Millones;Dólar estadounidense;51,10915229
2008-2;18;Chile;Millones;Dólar estadounidense;8,617105155
2008-2;19;China;Millones;Dólar estadounidense;0,064873506
2008-2;20;Corea del Sur;Millones;Dólar estadounidense;-0,677046278
2008-2;21;Chipre;Millones;Dólar estadounidense;0,2
2008-2;22;Costa Rica;Millones;Dólar estadounidense;1,113300461
2008-2;23;Cuba;Millones;Dólar estadounidense;0,020328
2008-2;24;Curazao;Millones;Dólar estadounidense;0,120277619
2008-2;25;Dinamarca;Millones;Dólar estadounidense;0,531257346
2008-2;26;Ecuador;Millones;Dólar estadounidense;0,56961433
2008-2;27;El Salvador;Millones;Dólar estadounidense;0,152706
2008-2;28;Escocia;Millones;Dólar estadounidense;0
2008-2;29;España;Millones;Dólar estadounidense;279,3545777
2008-2;30;Estados Unidos;Millones;Dólar estadounidense;856,1518937
2008-2;31;Finlandia;Millones;Dólar estadounidense;0,121412
2008-2;32;Francia;Millones;Dólar estadounidense;-0,205753652
2008-2;33;Gibraltar;Millones;Dólar estadounidense;0
